number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,params_scale_pos_weight,state
0,0.0812036451654493,2026-07-13 14:00:50.155274,2026-07-13 14:01:00.826171,0 days 00:00:10.670897,0.7799726016810132,64,9,800,0.4789240251631179,0.060285631437218844,0.004207988669606638,14.583936570011256,COMPLETE
1,0.06076337804555336,2026-07-13 14:01:00.827134,2026-07-13 14:01:14.589862,0 days 00:00:13.762728,1.5212112147976886,254,8,1800,0.006517070593249451,0.010294864098843958,0.00541524411940254,20.378115872866967,COMPLETE
2,0.03779211521811783,2026-07-13 14:01:14.590712,2026-07-13 14:01:16.622981,0 days 00:00:02.032269,2.571172192068058,128,5,700,3.2758800065878395,0.023585260188125887,0.006290644294586149,16.52748743664863,COMPLETE
3,0.05773505342526229,2026-07-13 14:01:16.623845,2026-07-13 14:01:40.557004,0 days 00:00:23.933159,3.4211651325607844,128,9,1800,0.02310961873210997,0.07817554354066729,0.002458603276328005,177.7360910243259,COMPLETE
4,0.06179007073086452,2026-07-13 14:01:40.557819,2026-07-13 14:01:44.092528,0 days 00:00:03.534709,0.9242722776276352,32,7,700,0.21301372721189435,0.014434610190247879,0.1537592023548176,74.00600652505288,COMPLETE
5,0.021378665044563316,2026-07-13 14:01:44.093363,2026-07-13 14:01:47.401288,0 days 00:00:03.307925,1.9433864484474102,64,3,1700,0.001593999043568401,0.009737791153147714,0.02001342062287998,63.36014446253799,COMPLETE
6,0.031810140585881753,2026-07-13 14:01:47.402161,2026-07-13 14:01:51.134233,0 days 00:00:03.732072,0.993578407670862,64,8,500,26.20670861087006,0.006443032835947006,1.2273800987852967,120.53116016891916,COMPLETE
7,0.031759765134701676,2026-07-13 14:01:51.135035,2026-07-13 14:01:52.413227,0 days 00:00:01.278192,1.654490124263246,254,5,400,7.315073480547534,0.007415196342284012,0.3113095956122124,82.74131662378268,COMPLETE
8,0.041044761309532704,2026-07-13 14:01:52.414247,2026-07-13 14:01:57.999276,0 days 00:00:05.585029,2.8063859878474813,32,6,1700,1.5605705131325147,0.007509745286187187,1.1044350847124695,14.783659675099987,COMPLETE
9,0.019119224809212444,2026-07-13 14:01:58.000079,2026-07-13 14:01:58.964281,0 days 00:00:00.964202,4.537832369630465,128,3,400,0.025551114281681598,0.043553729502461974,0.1082138291061399,17.09154940502547,COMPLETE
10,0.03844015838326642,2026-07-13 14:01:58.965083,2026-07-13 14:02:00.959460,0 days 00:00:01.994377,0.7921067884671972,32,7,400,0.09884321366121378,0.0814139530973272,0.0018786996933300626,13.920076610096986,PRUNED
11,0.03506551117407173,2026-07-13 14:02:00.960276,2026-07-13 14:02:05.644701,0 days 00:00:04.684425,1.6904783998098294,32,7,1000,0.45467450671659954,0.023378163182715753,0.09786989936173239,118.62802229217277,PRUNED
12,0.03932424241329183,2026-07-13 14:02:05.646877,2026-07-13 14:02:12.088533,0 days 00:00:06.441656,1.7305944636609674,64,7,1300,0.5974352798886647,0.12156691267426213,0.003550517045585129,19.632967359624207,PRUNED
13,0.09114968887669317,2026-07-13 14:02:12.089358,2026-07-13 14:02:21.843007,0 days 00:00:09.753649,0.9951231766872684,64,9,700,7.749723754019388,0.02014590599622502,0.0022878602003883796,21.91410461208216,COMPLETE
