number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
0,0.03948239105337392,2026-07-13 14:08:35.609449,2026-07-13 14:08:36.016511,0 days 00:00:00.407062,0.8330451065490129,0.039685799603129755,63,4,69,0.7337482962802829,300,11,0.0007420956921923713,1.883508273096806e-08,157.62938690920154,0.9436549963794391,COMPLETE
1,0.029533441458030395,2026-07-13 14:08:36.017394,2026-07-13 14:08:36.439047,0 days 00:00:00.421653,0.985732545717694,0.019823873877069336,127,2,170,0.44575836083971887,500,22,2.9403039649658837e-05,11.11219100651177,28.788593514922805,0.9395756590979446,COMPLETE
2,0.035549086706804,2026-07-13 14:08:36.440150,2026-07-13 14:08:36.775095,0 days 00:00:00.334945,0.9550765378900783,0.03172093538429994,31,7,196,0.180914595257901,200,32,0.0005337047154679817,9.678324974442473e-08,80.72438901633356,0.963465103132435,COMPLETE
3,0.04333542004528528,2026-07-13 14:08:36.776382,2026-07-13 14:08:37.231859,0 days 00:00:00.455477,0.7225307062448414,0.10557824938133568,127,5,199,0.7269879919679885,600,15,0.001111651158688829,7.898018319368671e-05,62.8874612840072,0.8942908326028483,COMPLETE
4,0.03686045189461071,2026-07-13 14:08:37.232743,2026-07-13 14:08:37.654610,0 days 00:00:00.421867,0.5722391892114144,0.009843638463318411,127,4,133,0.24339801628096225,500,51,4.321256072256169e-05,8.71890463611854e-06,97.32563570646505,0.7198467103228099,COMPLETE
5,0.034931551110578204,2026-07-13 14:08:37.655456,2026-07-13 14:08:37.990770,0 days 00:00:00.335314,0.9827042908386316,0.12383525188689919,127,10,43,0.4813033334553166,300,33,9.733840220091,1.6945289367561547e-08,76.8444288027483,0.8377796747273722,COMPLETE
6,0.0578007945897992,2026-07-13 14:08:37.991649,2026-07-13 14:08:38.585442,0 days 00:00:00.593793,0.9429497477739367,0.10096166613070477,63,8,41,0.6169369758208951,1600,61,1.974315354124087e-06,0.00015897475402963172,114.18324432747362,0.7738713284347221,COMPLETE
7,0.05595300021180292,2026-07-13 14:08:38.586273,2026-07-13 14:08:39.138194,0 days 00:00:00.551921,0.9224489437884281,0.12295884931710843,127,3,182,0.3941979979597263,1400,50,2.006343798728932,0.7180696248523027,19.744146560894464,0.8209056588045615,COMPLETE
8,0.019478355305524192,2026-07-13 14:08:39.139475,2026-07-13 14:08:39.731000,0 days 00:00:00.591525,0.984627751915528,0.010031038729588744,127,2,6,0.12075217051578746,1200,48,0.020360160859103322,8.328139170252009e-05,71.19596350437715,0.7337955966211729,COMPLETE
9,0.04156189325828459,2026-07-13 14:08:39.731839,2026-07-13 14:08:40.524796,0 days 00:00:00.792957,0.5387789027474854,0.013507693809940826,63,9,121,0.1815347567293506,1400,34,0.00024107689324753245,0.00027360902503002874,17.96304823146174,0.7514221357806279,COMPLETE
10,0.02645935622673156,2026-07-13 14:08:40.525543,2026-07-13 14:08:41.093874,0 days 00:00:00.568331,0.8819369806122549,0.13490316639654906,63,4,5,0.35141050833242493,1800,63,2.297460026005848e-07,5.2053072176576315e-06,93.53570434800896,0.8268742979234784,PRUNED
11,0.043506583203604586,2026-07-13 14:08:41.095144,2026-07-13 14:08:41.667226,0 days 00:00:00.572082,0.9813867219291855,0.14869409767054864,127,3,186,0.44421595775611455,1300,36,0.002646670239654515,0.001954754212272477,34.138335369788116,0.8496815846089452,COMPLETE
12,0.05666525019159269,2026-07-13 14:08:41.668085,2026-07-13 14:08:42.238702,0 days 00:00:00.570617,0.9839120903942455,0.10119613133267466,63,7,91,0.8513986506733758,1300,50,6.021419218837106e-07,0.15989273028721565,224.1717446302071,0.8450028180539564,COMPLETE
13,0.04460709453902227,2026-07-13 14:08:42.239489,2026-07-13 14:08:42.818966,0 days 00:00:00.579477,0.9490004684028147,0.07896427485164152,63,8,80,0.6597350900898711,1200,45,1.1568904492368147e-07,0.02672846802311764,184.76210689048312,0.7990597233840426,COMPLETE
14,0.03274342207495411,2026-07-13 14:08:42.819821,2026-07-13 14:08:43.422405,0 days 00:00:00.602584,0.8958453191292526,0.1380394600721464,63,5,44,0.829678889293691,1700,59,0.012420380611205808,6.221804209567835e-05,74.32709075628804,0.6706855688808018,PRUNED
15,0.03822241727351021,2026-07-13 14:08:43.423318,2026-07-13 14:08:44.056044,0 days 00:00:00.632726,0.9574188451703639,0.09752112070980512,63,10,25,0.3741620647470544,1700,53,2.7160457390969934e-08,0.000847423729234019,69.43996510246652,0.7735257597206757,PRUNED
16,0.05780377131068182,2026-07-13 14:08:44.056944,2026-07-13 14:08:44.939716,0 days 00:00:00.882772,0.8750514175223113,0.014213474769650434,63,9,43,0.96359789118839,1800,52,8.367729622325204e-05,1.3320092423875296e-06,142.56853823442617,0.7533369351997222,COMPLETE
17,0.046110640198749664,2026-07-13 14:08:44.940612,2026-07-13 14:08:45.851623,0 days 00:00:00.911011,0.9100776212196781,0.0135068504629056,63,10,49,0.8849110778724278,1600,46,4.283603932309773e-06,1.4010411123802241e-08,136.794854554993,0.6864352051857965,COMPLETE
18,0.026309256204517736,2026-07-13 14:08:45.852478,2026-07-13 14:08:46.907683,0 days 00:00:01.055205,0.837976571399826,0.006388262955140315,63,8,8,0.7035738251434271,1800,45,9.048465943029179e-06,3.4506911613517785e-05,80.03971112856516,0.8814296448239748,PRUNED
19,0.03548190614134211,2026-07-13 14:08:46.908717,2026-07-13 14:08:47.628580,0 days 00:00:00.719863,0.7543344455270621,0.02811696154735419,31,5,79,0.8405260689719636,1700,55,3.4739913993879007e-07,2.4671236351066007e-06,193.27238510824125,0.858217312401192,PRUNED
20,0.04339905076533811,2026-07-13 14:08:47.629470,2026-07-13 14:08:48.391936,0 days 00:00:00.762466,0.7359486533503814,0.021278902678215503,255,10,57,0.5803818982785756,1300,47,0.00022812381007898734,3.328502970648713e-05,207.66231408627323,0.7709989450576185,COMPLETE
21,0.05797815327485635,2026-07-13 14:08:48.392824,2026-07-13 14:08:49.034653,0 days 00:00:00.641829,0.7974539201004183,0.08165582012412204,255,8,161,0.9755777869279708,1800,48,1.1765175716491027e-05,0.7540379590146953,132.65480432012828,0.7558847840952737,COMPLETE
22,0.04284309098142207,2026-07-13 14:08:49.035545,2026-07-13 14:08:49.652196,0 days 00:00:00.616651,0.8158157960630776,0.06555606424258888,255,9,143,0.8676816926030793,1700,57,0.0005453677440266044,0.2383601637751305,111.17309951315801,0.7925187892895814,PRUNED
23,0.06192089675244156,2026-07-13 14:08:49.653038,2026-07-13 14:08:50.346218,0 days 00:00:00.693180,0.8962037923034621,0.053112628671271374,63,9,200,0.9145211437585049,1800,37,0.00014315938597699994,0.07354327690606806,52.72663632941136,0.6647813461490453,COMPLETE
24,0.04317986286429226,2026-07-13 14:08:50.347051,2026-07-13 14:08:51.032004,0 days 00:00:00.684953,0.7850187330145408,0.0284353582281513,63,8,183,0.9109096532533849,1700,36,5.285920414240041e-06,3.120723768447293e-05,48.03195714810517,0.7462532396901226,PRUNED
25,0.06031197205903238,2026-07-13 14:08:51.033121,2026-07-13 14:08:51.698406,0 days 00:00:00.665285,0.8070932092173622,0.11586114714246094,127,8,195,0.9578311176053461,1800,11,0.000922468667957217,0.0020558135051252724,116.39324818209467,0.6820496276507234,COMPLETE
26,0.042158042914957436,2026-07-13 14:08:51.699229,2026-07-13 14:08:52.422311,0 days 00:00:00.723082,0.715570121563011,0.05917915726343329,127,5,197,0.7874231226000868,1800,11,0.1100600298248383,0.0012153565316510829,97.9375636823554,0.6749539494307968,PRUNED
27,0.03886853416533101,2026-07-13 14:08:52.423083,2026-07-13 14:08:53.088494,0 days 00:00:00.665411,0.9022670056135538,0.1060585184891322,127,9,195,0.4960116054476306,1700,6,1.3939284473351714e-06,1.231146242614451,51.91067095128616,0.6758988164571876,PRUNED
28,0.0631159604207221,2026-07-13 14:08:53.089507,2026-07-13 14:08:53.674841,0 days 00:00:00.585334,0.9270796520840534,0.09994759108272772,63,9,185,0.7761095775389084,1500,37,0.01820787711419762,0.7489333867414205,40.22581082799135,0.6561714007083292,COMPLETE
29,0.05999507051126819,2026-07-13 14:08:53.675724,2026-07-13 14:08:54.389325,0 days 00:00:00.713601,0.8861438367406607,0.08147697111431075,63,8,140,0.5451810017304035,1700,42,0.15651572545065429,4.9020382221097885,42.75435043688474,0.652686712917186,COMPLETE
30,0.1051016340808444,2026-07-13 14:08:54.390088,2026-07-13 14:08:54.859910,0 days 00:00:00.469822,0.9678483475158824,0.14508417132993925,63,10,178,0.9910540676946129,800,27,0.021911250783153584,0.0033759394305726306,89.92417678475135,0.6083454497221304,COMPLETE
31,0.04404192049737176,2026-07-13 14:08:54.861252,2026-07-13 14:08:55.302964,0 days 00:00:00.441712,0.9845300469543237,0.09607077239166202,31,6,177,0.8398672680412985,700,24,0.4719347864922755,0.04524072884315585,105.44399512155097,0.6085352386240407,PRUNED
32,0.04572320325764942,2026-07-13 14:08:55.303743,2026-07-13 14:08:55.829965,0 days 00:00:00.526222,0.8563746416978165,0.10534783046537456,63,10,143,0.9699223341755551,1100,14,0.2417645626172964,0.2719667893611307,61.691346204735126,0.6091805958267656,COMPLETE
33,0.056675811446217195,2026-07-13 14:08:55.830793,2026-07-13 14:08:56.249896,0 days 00:00:00.419103,0.9954966791924015,0.12779899571782513,63,8,142,0.8306415289540146,600,33,0.0002879961244250695,0.00021668102601239784,126.1556113355606,0.6829376754777783,COMPLETE
34,0.05473811026599047,2026-07-13 14:08:56.250683,2026-07-13 14:08:56.880434,0 days 00:00:00.629751,0.8529746757518556,0.06580167075344225,127,9,161,0.9410231795511405,1400,10,8.722984237548163e-05,0.00027591120358235653,217.35385128647738,0.6941200938507912,COMPLETE
35,0.06618681456952623,2026-07-13 14:08:56.881265,2026-07-13 14:08:57.588714,0 days 00:00:00.707449,0.9367199356911691,0.0471530957508939,31,9,191,0.9074473729745679,1700,49,0.044666047989767525,0.004778612935883409,44.42496774890693,0.6711242302357047,COMPLETE
36,0.06590767801168644,2026-07-13 14:08:57.589477,2026-07-13 14:08:58.248253,0 days 00:00:00.658776,0.9799650035202723,0.040063540103997666,127,7,183,0.823721758943218,1500,61,0.010908434442696282,0.0016605466108983293,62.008781278821736,0.6457588145001163,COMPLETE
