number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
0,0.08837672515320452,2026-07-16 12:09:19.137858,2026-07-16 12:09:23.798829,0 days 00:00:04.660971,0.8046191903090758,3.499580273241349e-05,0.06293529713311483,1,2,0.17926896870575587,1600,4.804558533789276e-05,0.19182045455790883,28.64581712845577,0.7437243351232288,COMPLETE
1,0.10099137145454122,2026-07-16 12:09:23.799973,2026-07-16 12:09:28.418195,0 days 00:00:04.618222,0.8184160069034196,1.7877890290777935e-07,0.10035323868266739,2,9,1.768674465049229,1800,0.00013438061760481573,8.17318708325698,24.282053639593798,0.6855299248522434,COMPLETE
2,0.077993212054746,2026-07-16 12:09:28.419408,2026-07-16 12:09:29.743284,0 days 00:00:01.323876,0.9954113404903908,0.17585503413930917,0.009970878778707537,5,2,0.38260300664007185,400,2.4930939881131084e-05,0.20371311520371416,161.833795094945,0.9178299664912868,COMPLETE
3,0.13751111492904491,2026-07-16 12:09:29.744281,2026-07-16 12:09:33.267148,0 days 00:00:03.522867,0.7282482086187012,0.0002719640041529573,0.1182618379721677,0,7,11.632767678621404,1400,9.566686346739077e-08,0.0048785169955897585,37.894799388637836,0.6379887933185832,COMPLETE
4,0.09129391854404356,2026-07-16 12:09:33.268604,2026-07-16 12:09:36.058900,0 days 00:00:02.790296,0.8989887424255942,2.6176244243869283e-06,0.015413164318879811,1,5,0.9446413529139405,700,1.594902784615752,10.894746705281168,75.90131328306875,0.6381138646244594,COMPLETE
5,0.12043016648788012,2026-07-16 12:09:36.059876,2026-07-16 12:09:38.851650,0 days 00:00:02.791774,0.8724277550323812,9.549274060709237e-08,0.04296833201966591,5,7,18.3646382623255,1200,0.00027715164037909703,7.595379641025516,63.24822254827493,0.8948478370963924,COMPLETE
6,0.10500245141335253,2026-07-16 12:09:38.852694,2026-07-16 12:09:41.386434,0 days 00:00:02.533740,0.7755647418882881,3.2960769061575876e-08,0.016301910258842034,0,8,17.324334685076806,1000,0.0022790886672563984,0.7568096065991929,15.628840834276946,0.7196823663288097,COMPLETE
7,0.08510285659619019,2026-07-16 12:09:41.387628,2026-07-16 12:09:43.612545,0 days 00:00:02.224917,0.6565126116069997,2.1575407016063593e-05,0.020786764987784496,1,7,0.12866555945904842,600,1.5443442397740875e-07,1.0773378081314215,18.586204112134347,0.6848778581993298,COMPLETE
8,0.0959342082110726,2026-07-16 12:09:43.613520,2026-07-16 12:09:45.987973,0 days 00:00:02.374453,0.5584628027342387,0.0035098925559028243,0.08754400165146842,1,4,0.48234718212731686,900,1.4640964662774153e-05,0.19898147794872098,32.996502149880314,0.7035120933895843,COMPLETE
9,0.07680559725799235,2026-07-16 12:09:45.989044,2026-07-16 12:09:48.005570,0 days 00:00:02.016526,0.7303524507101532,2.6445499075484302,0.05952275879875427,2,5,0.1831999719851242,1000,0.4484425882983206,0.025705559011988805,54.80029313848803,0.9511199348846116,COMPLETE
10,0.10886908634405064,2026-07-16 12:09:48.006647,2026-07-16 12:09:50.597611,0 days 00:00:02.590964,0.650205807882574,0.012002883243387701,0.02914890980069801,0,6,4.723025503236128,900,2.2246267186529485e-06,0.0027479459093386165,25.12082281830678,0.644322744018289,COMPLETE
11,0.10787208305738688,2026-07-16 12:09:50.598613,2026-07-16 12:09:53.512766,0 days 00:00:02.914153,0.985719356403282,8.660757400501883e-06,0.03996575057458838,5,7,8.178712821665439,1000,0.018397507564050238,23.158239147376282,103.90566958201981,0.9161050551186924,COMPLETE
12,0.0988799272787145,2026-07-16 12:09:53.513589,2026-07-16 12:09:56.880664,0 days 00:00:03.367075,0.9257135308723826,0.00010459792167162479,0.07798070931898037,0,9,2.7167329059199075,1500,8.956725384689752e-08,0.005020498419955205,61.0465336287463,0.6707630487397116,COMPLETE
