iter	PRAUC	Logloss
0	0.8347576388	0.6672926256
1	0.8608330891	0.6413916483
2	0.8673529544	0.6114004064
3	0.8708558479	0.5574093479
4	0.8833607766	0.5305843891
5	0.9035567598	0.5004928766
6	0.9102036548	0.4764940317
7	0.9316408112	0.4543998229
8	0.9331360031	0.4388650919
9	0.9566136383	0.4140942053
10	0.9567991883	0.4090952444
11	0.9543380345	0.3972540586
12	0.9549321791	0.3925031186
13	0.9577772691	0.3738324268
14	0.95930645	0.3636819387
15	0.9617188061	0.3543491623
16	0.9620956479	0.3538299564
17	0.9628344275	0.3472677069
18	0.9624573361	0.3438126931
19	0.9655740184	0.334875974
20	0.9678296677	0.332575992
21	0.9700814093	0.3273292492
22	0.969853683	0.3190395977
23	0.9716565223	0.3145648515
24	0.973141615	0.3047293113
25	0.974795913	0.3003822413
26	0.9765413078	0.2971163719
27	0.9817452071	0.2922203216
28	0.9808477218	0.2825901946
29	0.9813270867	0.2789874683
30	0.9828462231	0.2763367866
31	0.9826757777	0.2725198804
32	0.9830550369	0.2700222622
33	0.9838178894	0.2684875122
34	0.9850322841	0.2665959228
35	0.9848698371	0.265616683
36	0.9847218397	0.2620854335
37	0.9839928667	0.2575019666
38	0.9841643525	0.2527130415
39	0.9841028865	0.2501220929
40	0.9847777621	0.2493703268
41	0.9864239492	0.2460853265
42	0.9863655333	0.2387708205
43	0.9867927215	0.2380306631
44	0.9870170741	0.2352384535
45	0.9871141268	0.2336576046
46	0.9876453842	0.2316255824
47	0.9889684625	0.2287201423
48	0.988940046	0.2254997757
49	0.9892975056	0.2230090158
50	0.9889609868	0.2208071329
51	0.9896248786	0.219656581
52	0.9907427308	0.2174938582
53	0.9900169729	0.2142346398
54	0.9906029524	0.2117198962
55	0.9905282973	0.2104295854
56	0.9906213281	0.2100451429
57	0.9909016029	0.2092768879
58	0.9906559353	0.207570051
59	0.9904246092	0.2066617035
60	0.9901783769	0.2037126853
61	0.9897066184	0.2020554449
62	0.9907066869	0.2002307489
63	0.9906504247	0.1995649958
64	0.9907146281	0.1990262419
65	0.9904518456	0.1973584774
66	0.9903292495	0.1939852756
67	0.9904527152	0.1927760026
68	0.9905175682	0.1918834242
69	0.9905620201	0.1913558309
70	0.9907339186	0.1904655388
71	0.9908628882	0.1900785879
72	0.9909479318	0.1889177087
73	0.9913211135	0.1871536453
74	0.991594828	0.1862927478
75	0.9915432876	0.1856075668
76	0.9915296036	0.1841711068
77	0.9918549743	0.1831293813
78	0.9918152989	0.1819840799
79	0.9919651714	0.1796739261
80	0.9920518677	0.1789577414
81	0.9916212139	0.1775756679
82	0.9914130586	0.1768196276
83	0.9918446111	0.176128618
84	0.9918449027	0.1752999163
85	0.991954172	0.1748348433
86	0.9918054387	0.174172878
87	0.9923718933	0.1723722423
88	0.9926033206	0.1706040201
89	0.9927718933	0.1699052889
90	0.9929126845	0.1681231838
91	0.9929787688	0.1676648612
92	0.9932659642	0.1665822013
93	0.9935990084	0.164635175
94	0.9939746212	0.162808203
95	0.9939194008	0.1624933738
96	0.9943045534	0.1615759201
97	0.9942567814	0.16119441
98	0.9942375192	0.1609539
99	0.9938674795	0.1603877662
100	0.9939917307	0.1600887573
101	0.9940731654	0.1584815665
102	0.994108081	0.1580226766
103	0.9942252165	0.1564251339
104	0.9944289628	0.1547250446
105	0.994208039	0.1541267263
106	0.9942795488	0.1533653441
107	0.9944135268	0.1528520167
108	0.9945251184	0.1524793593
109	0.9944906795	0.1521468704
110	0.9946516635	0.1509573876
111	0.9948831386	0.1485771837
112	0.9951920155	0.1469998993
113	0.9959417291	0.1458668906
114	0.9960686875	0.1449971653
115	0.9962834366	0.144469741
116	0.9964279015	0.1436762827
117	0.9964164724	0.1431812978
118	0.9964164724	0.1428143395
119	0.9964670975	0.1424428703
120	0.9964723397	0.1415499339
121	0.9965476578	0.1407368439
122	0.9967485651	0.1397302101
123	0.9966715785	0.1392863031
124	0.9966773078	0.1391485861
125	0.9967737943	0.1382970956
126	0.9968723871	0.1376015143
127	0.9974138658	0.1365128158
128	0.9974079599	0.1363552419
129	0.9975982711	0.1352944775
130	0.9976520983	0.1344218444
131	0.9974423136	0.133971572
132	0.9974989714	0.1336317378
133	0.9975804792	0.1329053984
134	0.9975817024	0.1326704854
135	0.9976544419	0.1308911503
136	0.997716151	0.1303976411
137	0.9977974781	0.1297211949
138	0.9977345009	0.1290449205
139	0.9978428348	0.1276530472
140	0.9979845727	0.1268839888
141	0.9979098853	0.1266068424
142	0.997977254	0.1255525908
143	0.9978609147	0.1251656097
144	0.9979235674	0.1239000486
145	0.9979235674	0.1233026224
146	0.9979411979	0.1229241818
147	0.9979114607	0.1217928719
148	0.9980950584	0.1195337202
149	0.9982832041	0.1180703644
150	0.9982334146	0.1175268796
151	0.9983266676	0.1168127144
152	0.9983099516	0.1166817794
153	0.9983261855	0.1164408965
154	0.9983747224	0.1152453228
155	0.9983890033	0.1146464846
156	0.9983936933	0.1144859253
157	0.9984534433	0.1134070338
158	0.9985064994	0.1123290097
159	0.9985269065	0.1121367867
160	0.9986394597	0.1116561981
161	0.9986563169	0.1108456797
162	0.9987024972	0.1098566684
163	0.9987845441	0.1084413004
164	0.9989354189	0.1072674737
165	0.9989700433	0.1064940989
166	0.9992171875	0.1061032562
167	0.9992102922	0.1057656039
168	0.9993397594	0.1049249269
169	0.9993318252	0.1035570558
170	0.9993473217	0.103223079
171	0.9993670688	0.1026441301
172	0.9993980143	0.1021386752
173	0.9993981683	0.1019100351
174	0.999417857	0.1018521564
175	0.9994121419	0.100542923
176	0.9994426641	0.09889333517
177	0.9994726714	0.09762897313
178	0.999465195	0.09724218448
179	0.9994711614	0.09715977315
180	0.9994998491	0.09650262208
181	0.9995793089	0.0954567534
182	0.9995978865	0.09384341302
183	0.9996207143	0.09229364356
184	0.9996220164	0.09142698841
185	0.9996448075	0.09040547807
186	0.9996495954	0.08984013024
187	0.9996576011	0.08962495418
188	0.9996576011	0.0888577225
189	0.9996576011	0.08845381104
190	0.9996762194	0.08740492306
191	0.9997358921	0.08569650891
192	0.9997290706	0.08553572202
193	0.9997358921	0.08521321355
194	0.9997358921	0.08476319388
195	0.9997358921	0.0845625431
196	0.9997590239	0.08245079796
197	0.9997722891	0.08136400199
198	0.9997908869	0.0802700484
199	0.9997852007	0.07985482678
200	0.9997908869	0.07938014672
201	0.9997931531	0.07835177373
