iter	Passed	Remaining
0	155	46399
1	156	23363
2	158	15682
3	159	11835
4	161	9531
5	163	7994
6	164	6896
7	166	6073
8	167	5431
9	170	4934
10	172	4521
11	174	4177
12	176	3885
13	178	3639
14	180	3427
15	182	3241
16	184	3075
17	187	2932
18	189	2803
19	191	2686
20	194	2580
21	196	2484
22	199	2397
23	201	2316
24	203	2243
25	206	2173
26	208	2108
27	210	2048
28	213	1992
29	215	1939
30	218	1892
31	220	1845
32	222	1801
33	224	1759
34	227	1721
35	229	1683
36	231	1648
37	234	1615
38	236	1582
39	238	1552
40	240	1521
41	243	1493
42	245	1466
43	247	1440
44	250	1416
45	252	1392
46	254	1370
47	256	1348
48	259	1327
49	261	1306
50	263	1288
51	266	1270
52	268	1253
53	271	1238
54	274	1221
55	276	1205
56	278	1189
57	281	1174
58	284	1160
59	286	1145
60	288	1131
61	291	1117
62	293	1104
63	296	1092
64	298	1080
65	301	1068
66	304	1057
67	306	1045
68	309	1035
69	311	1024
70	314	1014
71	316	1003
72	319	993
73	321	982
74	324	972
75	326	962
76	329	952
77	331	942
78	333	933
79	335	923
80	338	914
81	340	904
82	342	896
83	345	887
84	347	878
85	349	870
86	352	862
87	354	854
88	357	846
89	359	838
90	362	831
91	364	824
92	366	816
93	369	809
94	371	802
95	374	794
96	376	788
97	378	781
98	381	774
99	383	767
100	385	760
101	388	753
102	390	747
103	393	741
104	395	734
105	397	728
106	400	721
107	402	715
108	404	709
109	407	703
110	409	697
111	411	691
112	414	685
113	416	680
114	419	674
115	421	668
116	424	663
117	426	657
118	428	652
119	431	646
120	433	641
121	435	635
122	438	630
123	440	625
124	443	620
125	445	615
126	447	610
127	450	605
128	452	599
129	455	595
130	457	590
131	459	585
132	462	580
133	464	575
134	467	570
135	469	566
136	472	562
137	474	557
138	477	553
139	479	548
140	482	543
141	484	539
142	487	535
143	490	531
144	492	526
145	495	522
146	497	517
147	499	513
148	502	508
149	504	504
150	507	500
151	509	496
152	511	491
153	514	487
154	516	483
155	518	478
156	521	474
157	523	470
158	525	466
159	528	462
160	530	458
161	533	454
162	535	450
163	538	446
164	540	442
165	543	438
166	546	435
167	549	431
168	551	427
169	554	423
170	556	420
171	559	416
172	561	412
173	564	408
174	566	404
175	569	401
176	571	397
177	574	393
178	576	389
179	579	386
180	581	382
181	584	378
182	586	375
183	589	371
184	591	367
185	594	364
186	596	360
187	599	357
188	601	353
189	604	349
190	606	346
191	609	342
192	611	338
193	613	335
194	616	331
195	618	328
196	621	324
197	623	321
198	626	317
199	628	314
200	631	310
201	633	307
202	636	304
203	639	300
204	641	297
205	643	293
206	646	290
207	649	287
208	651	283
209	653	280
210	656	276
211	658	273
212	661	270
213	663	266
214	665	263
215	668	259
216	670	256
217	673	253
218	675	249
219	678	246
220	680	243
221	683	240
222	685	236
223	688	233
224	690	230
225	693	227
226	695	223
227	698	220
228	700	217
229	702	213
230	705	210
231	707	207
232	710	204
233	712	200
234	714	197
235	716	194
236	719	191
237	721	188
238	724	184
239	726	181
240	729	178
241	731	175
242	734	172
243	736	169
244	739	166
245	742	162
246	744	159
247	746	156
248	749	153
249	751	150
250	753	147
251	756	144
252	758	140
253	760	137
254	763	134
255	765	131
256	768	128
257	770	125
258	773	122
259	775	119
260	777	116
261	780	113
262	782	110
263	785	107
264	787	104
265	790	101
266	793	98
267	795	94
268	797	91
269	800	88
270	802	85
271	805	82
272	807	79
273	810	76
274	812	73
275	814	70
276	817	67
277	819	64
278	822	61
279	824	58
280	827	55
281	829	52
282	831	49
283	834	46
284	836	44
285	838	41
286	841	38
287	843	35
288	846	32
289	848	29
290	851	26
291	853	23
292	855	20
293	858	17
294	860	14
295	863	11
296	865	8
297	868	5
298	870	2
299	872	0
